pool,model,n_min,n_max,mean_end
Elastic-CHGNet,Sparse MFGP,40,40,308.67499999999995
Elastic-CHGNet,DKL,40,40,284.975
Elastic-CHGNet,Sequential,40,40,273.275
Elastic-CHGNet,Feature-extraction transfer,40,40,265.54999999999995
Elastic-CHGNet,End-to-End Joint,40,40,294.19999999999993
Elastic-CHGNet,Progressive,40,40,263.125
Elastic-CHGNet,Pretrain-then-Joint,40,40,311.15
Elastic-CHGNet,Stop-Gradient Joint,40,40,278.45
Elastic-CHGNet,Domain Adaptation (MMD),40,40,296.22499999999997
Elastic-CHGNet,Soft Parameter Sharing,40,40,284.4
Elastic-CHGNet,Adapter,40,40,286.85
Elastic-SevenNet,MFGP,40,40,154.52500000000003
Elastic-SevenNet,Sparse MFGP,40,40,135.52500000000018
Elastic-SevenNet,DKL,40,40,139.0500000000001
Elastic-SevenNet,Sequential,40,40,114.97500000000022
Elastic-SevenNet,Feature-extraction transfer,40,40,123.32500000000019
Elastic-SevenNet,End-to-End Joint,40,40,121.22500000000021
Elastic-SevenNet,Progressive,40,40,133.3500000000001
Elastic-SevenNet,Pretrain-then-Joint,40,40,129.62500000000014
Elastic-SevenNet,Stop-Gradient Joint,40,40,128.77500000000015
Elastic-SevenNet,Domain Adaptation (MMD),40,40,115.0250000000002
Elastic-SevenNet,Soft Parameter Sharing,40,40,126.07500000000016
Elastic-SevenNet,Adapter,40,40,123.97500000000016
Elastic-MatterSim,MFGP,40,40,250.075
Elastic-MatterSim,Sparse MFGP,40,40,256.125
Elastic-MatterSim,DKL,40,40,247.15
Elastic-MatterSim,Sequential,40,40,245.5
Elastic-MatterSim,Feature-extraction transfer,40,40,244.5
Elastic-MatterSim,End-to-End Joint,40,40,245.95
Elastic-MatterSim,Progressive,40,40,248.19999999999996
Elastic-MatterSim,Pretrain-then-Joint,40,40,248.85
Elastic-MatterSim,Stop-Gradient Joint,40,40,244.225
Elastic-MatterSim,Domain Adaptation (MMD),40,40,245.225
Elastic-MatterSim,Soft Parameter Sharing,40,40,250.22499999999997
Elastic-MatterSim,Adapter,40,40,244.225
