pool,model,abbr,family,n,mean,se
Branin-Fav,MFGP,MFGP,GP,40,0.9118131868131869,0.00802993984942778
Branin-Fav,Sparse MFGP,SV-MFGP,GP,36,0.5892857142857134,0.04010924794412709
Branin-Fav,DKL,DKL,GP,40,0.9134615384615387,0.006539029788415694
Branin-Fav,Frozen-representation transfer,TL-base,TL,40,0.58598901098901,0.03948079374172916
Branin-Fav,Pretrain-then-Joint,TL-PtJ,TL,40,0.47307692307692284,0.049354105884023204
Branin-Fav,End-to-End Joint,TL-E2E,TL,40,0.6877747252747249,0.03306821931422766
Branin-Fav,Soft Parameter Sharing,TL-SPS,TL,40,0.4688873626373618,0.04103105602436915
Branin-Fav,Domain Adaptation (MMD),TL-MMD,TL,40,0.37376373626373516,0.03240082563560166
Branin-Unfav,MFGP,MFGP,GP,40,0.756043956043956,0.02274037081305701
Branin-Unfav,Sparse MFGP,SV-MFGP,GP,39,0.22449985911524367,0.0347901356364746
Branin-Unfav,DKL,DKL,GP,40,0.6267170329670331,0.024053237317741734
Branin-Unfav,Frozen-representation transfer,TL-base,TL,40,0.3478021978021978,0.04857197919820898
Branin-Unfav,Pretrain-then-Joint,TL-PtJ,TL,40,0.025206043956043957,0.02061094277026313
Branin-Unfav,End-to-End Joint,TL-E2E,TL,40,0.35776098901098907,0.050844684459257376
Branin-Unfav,Soft Parameter Sharing,TL-SPS,TL,40,0.10542582417582418,0.0325689320700026
Branin-Unfav,Domain Adaptation (MMD),TL-MMD,TL,40,0.08894230769230768,0.0251779665314898
Park-Fav,MFGP,MFGP,GP,40,0.6153846153846145,0.01802675372607209
Park-Fav,Sparse MFGP,SV-MFGP,GP,40,0.8343406593406592,0.019022897372497984
Park-Fav,DKL,DKL,GP,40,0.8543956043956046,0.010356179601582234
Park-Fav,Frozen-representation transfer,TL-base,TL,40,0.7370879120879117,0.02166724305986242
Park-Fav,Pretrain-then-Joint,TL-PtJ,TL,40,0.939010989010989,0.0034064116149604947
Park-Fav,End-to-End Joint,TL-E2E,TL,40,0.8359890109890109,0.015041598792469982
Park-Fav,Soft Parameter Sharing,TL-SPS,TL,40,0.9412087912087912,0.003161254274859329
Park-Fav,Domain Adaptation (MMD),TL-MMD,TL,40,0.8074175824175824,0.014611387920476586
Park-Unfav,MFGP,MFGP,GP,40,0.7739010989010989,0.023617648627818674
Park-Unfav,Sparse MFGP,SV-MFGP,GP,40,0.8876373626373628,0.011761305931602005
Park-Unfav,DKL,DKL,GP,40,0.8420329670329669,0.01731126996348153
Park-Unfav,Frozen-representation transfer,TL-base,TL,40,0.8552197802197803,0.018820390882688623
Park-Unfav,Pretrain-then-Joint,TL-PtJ,TL,40,0.849175824175824,0.01903347452042439
Park-Unfav,End-to-End Joint,TL-E2E,TL,40,0.8598901098901098,0.01771378614318005
Park-Unfav,Soft Parameter Sharing,TL-SPS,TL,40,0.8678571428571431,0.01767326268608694
Park-Unfav,Domain Adaptation (MMD),TL-MMD,TL,40,0.8013736263736263,0.01999889882371937
COFs,MFGP,MFGP,GP,40,0.9022000565930955,0.0075094128715759555
COFs,Sparse MFGP,SV-MFGP,GP,40,0.9231571873231463,0.006334395457166701
COFs,DKL,DKL,GP,40,0.9194314751933597,0.006976150594337548
COFs,Frozen-representation transfer,TL-base,TL,40,0.9231571873231463,0.00593554107655011
COFs,Pretrain-then-Joint,TL-PtJ,TL,40,0.9124457649500094,0.006841319429527446
COFs,End-to-End Joint,TL-E2E,TL,40,0.9198971892095829,0.006084062430983823
COFs,Soft Parameter Sharing,TL-SPS,TL,40,0.8998714865119787,0.007967553037986701
COFs,Domain Adaptation (MMD),TL-MMD,TL,40,0.9338686096962837,0.00643067699097432
FreeSolv,MFGP,MFGP,GP,40,0.9377450980392158,0.004543857918288467
FreeSolv,Sparse MFGP,SV-MFGP,GP,40,0.8985294117647061,0.010986663708506022
FreeSolv,DKL,DKL,GP,40,0.9200980392156864,0.007735163646107589
FreeSolv,Frozen-representation transfer,TL-base,TL,40,0.9338235294117648,0.005424056653424634
FreeSolv,Pretrain-then-Joint,TL-PtJ,TL,40,0.9328431372549023,0.006391856893028466
FreeSolv,End-to-End Joint,TL-E2E,TL,40,0.9367647058823533,0.004735093475727624
FreeSolv,Soft Parameter Sharing,TL-SPS,TL,40,0.9377450980392158,0.004543857918288467
FreeSolv,Domain Adaptation (MMD),TL-MMD,TL,40,0.9284313725490196,0.008234037108692513
Polarizability,MFGP,MFGP,GP,40,0.9535469171917192,0.011211110659905725
Polarizability,Sparse MFGP,SV-MFGP,GP,40,0.8438660272277229,0.032958519020838864
Polarizability,DKL,DKL,GP,40,0.9449444944494448,0.009937041907512736
Polarizability,Frozen-representation transfer,TL-base,TL,40,0.962579461071107,0.005436724890915964
Polarizability,Pretrain-then-Joint,TL-PtJ,TL,40,0.962579461071107,0.005436724890915964
Polarizability,End-to-End Joint,TL-E2E,TL,40,0.962579461071107,0.005436724890915964
Polarizability,Soft Parameter Sharing,TL-SPS,TL,40,0.962579461071107,0.005436724890915964
Polarizability,Domain Adaptation (MMD),TL-MMD,TL,40,0.962579461071107,0.005436724890915964
HOPV15,MFGP,MFGP,GP,40,0.3174528301886793,0.0632412502481276
HOPV15,Sparse MFGP,SV-MFGP,GP,40,0.08018867924528286,0.04215614222549458
HOPV15,DKL,DKL,GP,40,0.2160377358490566,0.05482541430412417
HOPV15,Frozen-representation transfer,TL-base,TL,40,0.3755896226415093,0.05604406173113346
HOPV15,Pretrain-then-Joint,TL-PtJ,TL,40,0.2924528301886792,0.05256516565103866
HOPV15,End-to-End Joint,TL-E2E,TL,40,0.33207547169811286,0.054075110118233696
HOPV15,Soft Parameter Sharing,TL-SPS,TL,40,0.2452830188679246,0.05416450307195255
HOPV15,Domain Adaptation (MMD),TL-MMD,TL,40,0.33066037735849035,0.055946790016587075
Matbench-Gap,MFGP,MFGP,GP,40,0.24513888888888818,0.035883918194824276
Matbench-Gap,Sparse MFGP,SV-MFGP,GP,40,0.3217592592592585,0.039821094824851855
Matbench-Gap,DKL,DKL,GP,40,0.26898148148148093,0.0401772276487548
Matbench-Gap,Frozen-representation transfer,TL-base,TL,40,0.4092592592592588,0.03875865680776518
Matbench-Gap,Pretrain-then-Joint,TL-PtJ,TL,40,0.421064814814814,0.03392036687593351
Matbench-Gap,End-to-End Joint,TL-E2E,TL,40,0.381018518518518,0.04042487140264304
Matbench-Gap,Soft Parameter Sharing,TL-SPS,TL,40,0.43495370370370284,0.03585250790012766
