abbr,mean,se,n,raw_mean
TL-base,0.012814159493892462,0.0068794909255512375,9,0.6883499778275028
TL-MMD,0.022822264242291404,0.0091927397444473,9,0.678341873079104
TL-E2E,0.03332234986357172,0.012346815923265773,9,0.6678417874578236
TL-PtJ,0.05254305821214932,0.024978510975247326,9,0.6486210791092459
TL-SPS,0.054598562254580346,0.03230124203026722,9,0.646565575066815
DKL,0.07019163893825238,0.02101535215278401,9,0.6309724983831431
SV-MFGP,0.08265584411092983,0.029595159426033562,9,0.6185082932104655
MFGP,0.089248448620395,0.023880062803532432,9,0.6119156887010004
