benchmark,model,ece_lf_mean,ece_lf_final,attainment,n_att,se
Branin-Fav,DKL,0.2781324738650595,0.23324189092669118,0.9134615384615388,40,0.0065390297884156
Branin-Fav,Domain Adaptation (MMD),0.291216326975834,0.22837582548380872,0.3737637362637351,40,0.0324008256356016
Branin-Fav,End-to-End Joint,0.3271371994494308,0.26055840862626367,0.6877747252747249,40,0.0330682193142276
Branin-Fav,Frozen-representation transfer,0.3390945789485345,0.27088180245604554,0.58598901098901,40,0.0394807937417291
Branin-Fav,MFGP,0.1690279135040527,0.14915334838629157,0.9118131868131868,40,0.0080299398494277
Branin-Fav,Pretrain-then-Joint,0.21714385582945525,0.11870222206018977,0.4730769230769228,40,0.0493541058840232
Branin-Fav,Soft Parameter Sharing,0.2754332497143438,0.19072806108325713,0.4688873626373618,40,0.0410310560243691
Branin-Fav,Sparse MFGP,0.39718967568121377,0.41331171112513854,0.5892857142857134,36,0.040109247944127
Branin-Unfav,DKL,0.4217484992223726,0.4071298797892319,0.6267170329670331,40,0.0240532373177417
Branin-Unfav,Domain Adaptation (MMD),0.22997232567365372,0.1495499622829725,0.0889423076923076,40,0.0251779665314898
Branin-Unfav,End-to-End Joint,0.2561252290035908,0.17043206251974768,0.357760989010989,40,0.0508446844592573
Branin-Unfav,Frozen-representation transfer,0.2516313460698286,0.17374024494069024,0.3478021978021978,40,0.0485719791982089
Branin-Unfav,MFGP,0.10143085273039887,0.07060954113827692,0.756043956043956,40,0.022740370813057
Branin-Unfav,Pretrain-then-Joint,0.15266970102837002,0.09856740523166771,0.0252060439560439,40,0.0206109427702631
Branin-Unfav,Soft Parameter Sharing,0.2378503623407465,0.14023529508697172,0.1054258241758241,40,0.0325689320700026
Branin-Unfav,Sparse MFGP,0.3966207418586798,0.36609405243284876,0.2244998591152436,39,0.0347901356364746
COFs,DKL,0.13679640558157125,0.05828034258206667,0.9194314751933595,40,0.0069761505943375
COFs,Domain Adaptation (MMD),0.1700110910216071,0.260142698125343,0.9338686096962836,40,0.0064306769909743
COFs,End-to-End Joint,0.1743441613980528,0.14673437078259205,0.9198971892095829,40,0.0060840624309838
COFs,Frozen-representation transfer,0.1399371795328102,0.24233972424139377,0.9231571873231464,40,0.0059355410765501
COFs,MFGP,0.28347617866030556,0.29245226395469426,0.9022000565930955,40,0.0075094128715759
COFs,Pretrain-then-Joint,0.19755636975052238,0.22796561918589026,0.9124457649500094,40,0.0068413194295274
COFs,Soft Parameter Sharing,0.18131348928646016,0.16967722596839602,0.8998714865119787,40,0.0079675530379867
COFs,Sparse MFGP,0.23053557772255218,0.24844025282349821,0.9231571873231464,40,0.0063343954571667
Elastic-CHGNet,DKL,0.3939274867021734,0.36655043420166045,0.6043981481481476,40,0.0420186508554761
Elastic-CHGNet,Domain Adaptation (MMD),0.14739894560249955,0.1625452169169443,0.5532407407407403,40,0.0446018870676108
Elastic-CHGNet,End-to-End Joint,0.16952339727663063,0.17860024862498045,0.507175925925925,40,0.0436172722998499
Elastic-CHGNet,Frozen-representation transfer,0.1068465079401025,0.10183435214688448,0.6219907407407405,40,0.0414893974935224
Elastic-CHGNet,MFGP,0.09043106382488947,0.10285871692447753,0.4928240740740733,40,0.0443519627536595
Elastic-CHGNet,Pretrain-then-Joint,0.16782575651947423,0.16821346710887503,0.3814814814814808,40,0.0390496608899073
Elastic-CHGNet,Soft Parameter Sharing,0.1832006944584538,0.1847644356063013,0.3337962962962956,40,0.0309180738221969
Elastic-CHGNet,Sparse MFGP,0.2799031821947937,0.27277978219768023,0.5736111111111106,40,0.049011039719134
Elastic-MatterSim,DKL,0.4449316628271711,0.42558240733415714,0.8365740740740742,40,0.0138910650400268
Elastic-MatterSim,Domain Adaptation (MMD),0.10655485557895987,0.06642867383037007,0.8699074074074076,40,0.0089572665808218
Elastic-MatterSim,End-to-End Joint,0.12431720342415956,0.08818399883756226,0.8796296296296298,40,0.0080665865244375
Elastic-MatterSim,Frozen-representation transfer,0.0841453825328588,0.05639815924071011,0.8722222222222221,40,0.0106669700283969
Elastic-MatterSim,MFGP,0.09532700479306948,0.11936567501372093,0.7574074074074072,40,0.0245228102962327
Elastic-MatterSim,Pretrain-then-Joint,0.10884478015466761,0.059241087309004556,0.8537037037037039,40,0.0139212980530392
Elastic-MatterSim,Soft Parameter Sharing,0.1250445633722457,0.08043521348127472,0.8615740740740744,40,0.0104417630572322
Elastic-MatterSim,Sparse MFGP,0.35835133183597434,0.37105010819168033,0.8634259259259259,40,0.009083989291828
Elastic-SevenNet,DKL,0.42819511437846536,0.4012174423966527,0.6784722222222221,40,0.0397965730147342
Elastic-SevenNet,Domain Adaptation (MMD),0.10277195962602548,0.10314194277902752,0.7543981481481479,40,0.0316767231814275
Elastic-SevenNet,End-to-End Joint,0.13565997160026844,0.11814952185332353,0.7266203703703699,40,0.0320475672506943
Elastic-SevenNet,Frozen-representation transfer,0.07589116181312501,0.06411792250654154,0.690972222222222,40,0.0372968208436846
Elastic-SevenNet,MFGP,0.07264700776681017,0.08365720625974606,0.568055555555555,40,0.0394129741505484
Elastic-SevenNet,Pretrain-then-Joint,0.1392805736558475,0.12428696812435322,0.7025462962962962,40,0.0364329104973349
Elastic-SevenNet,Soft Parameter Sharing,0.1532530996771077,0.14738803333285463,0.7335648148148146,40,0.0318506086671303
Elastic-SevenNet,Sparse MFGP,0.3107334437481831,0.3050546993834425,0.7247685185185186,40,0.0300985046059069
ExptGap-PBE,DKL,0.2671662154432386,0.16439703254925997,0.2898148148148143,40,0.0370788581548022
ExptGap-PBE,Domain Adaptation (MMD),0.08864143218079683,0.091256967754003,0.3979166666666661,40,0.0338010727543532
ExptGap-PBE,End-to-End Joint,0.08915056984477358,0.08502498684839535,0.3648148148148141,40,0.0270638713443677
ExptGap-PBE,Frozen-representation transfer,0.08146804002977814,0.07211953505798291,0.4055555555555551,40,0.0272790783014249
ExptGap-PBE,MFGP,0.16680783538147637,0.1870018399494089,0.3328703703703697,40,0.030553307206699
ExptGap-PBE,Pretrain-then-Joint,0.10899623791290167,0.11378388962365485,0.3784722222222215,40,0.0288876627795788
ExptGap-PBE,Soft Parameter Sharing,0.11615910241107116,0.1336640486153286,0.4097222222222214,40,0.0328900934635205
ExptGap-PBE,Sparse MFGP,0.20483646879165654,0.20752200874841414,0.3372685185185179,40,0.027509162406417
FreeSolv,DKL,0.36594842299991004,0.37302879182223103,0.9200980392156864,40,0.0077351636461075
FreeSolv,Domain Adaptation (MMD),0.2479721045433026,0.16354470576046412,0.9284313725490196,40,0.0082340371086925
FreeSolv,End-to-End Joint,0.2527217391261646,0.1846396256389004,0.9367647058823532,40,0.0047350934757276
FreeSolv,Frozen-representation transfer,0.2609877211015238,0.18853241477048766,0.9338235294117648,40,0.0054240566534246
FreeSolv,MFGP,0.09770297785893545,0.043336281421385625,0.9377450980392158,40,0.0045438579182884
FreeSolv,Pretrain-then-Joint,0.2284304286097422,0.13788846871114793,0.9328431372549024,40,0.0063918568930284
FreeSolv,Soft Parameter Sharing,0.24029882827287122,0.15275714877745544,0.9377450980392158,40,0.0045438579182884
FreeSolv,Sparse MFGP,0.06476155893889825,0.034342105126475175,0.8985294117647061,40,0.010986663708506
HOPV15,DKL,0.4047104340454969,0.3808817955792301,0.2160377358490566,40,0.0548254143041241
HOPV15,Domain Adaptation (MMD),0.06323267190376694,0.06011896798853317,0.3306603773584903,40,0.055946790016587
HOPV15,End-to-End Joint,0.06731789377177574,0.0733504538939321,0.3320754716981128,40,0.0540751101182336
HOPV15,Frozen-representation transfer,0.08490312240068403,0.06794535355948395,0.3755896226415093,40,0.0560440617311334
