abbr,mean,se,n,raw_mean
DKL,0.06872840430298283,0.016226613260308744,13,0.685796894485033
TL-E2E,0.08129522784299688,0.03166920953899952,13,0.6732300709450191
TL-base,0.08366001405367546,0.03844028382586941,13,0.6708652847343404
MFGP,0.09572652529171902,0.02688052530204656,13,0.658798773496297
TL-SPS,0.12356612213567321,0.05800096525772317,13,0.6309591766523427
TL-MMD,0.1255580595219246,0.06031271455376936,13,0.6289672392660913
TL-PtJ,0.12959764554163175,0.06102617484106055,13,0.6249276532463841
SV-MFGP,0.13126851153623373,0.04382308461977926,13,0.6232567872517822
