,Branin-Fav,Branin-Unfav,Park-Fav,Park-Unfav,COFs,FreeSolv,Polarizability,HOPV15,Matbench-Gap
EI,-0.016648351648351635,-0.006648351648351656,0.00296703296703299,0.0017582417582417595,-0.003725712129786826,-0.0007843137254901955,0.0,0.038962264150943574,-0.012205882352941184
PI,0.047197802197802334,0.019505494505494506,0.010000000000000033,0.0038461538461538485,-0.0050297113752122286,-0.0011764705882352934,0.0,0.04750000000000005,0.006470588235294184
GP-UCB,-0.09521978021978021,-0.02983516483516484,0.0032967032967033253,0.005494505494505497,-0.0005588568194680232,0.001960784313725489,0.0,0.029575471698113216,-0.019852941176470545
MES,-0.10615384615384613,-0.04362637362637362,0.0029670329670329933,0.0064835164835164855,-0.003353140916808143,0.001960784313725489,0.0,0.026415094339622563,0.006029411764705922
Thompson,-0.04530219780219792,0.0685989010989011,0.005604395604395624,0.009890109890109878,-0.0013039992454253902,-0.008039215686274505,0.0,-0.08679245283018885,-0.1376470588235294
