,Branin-Fav,Branin-Unfav,Park-Fav,Park-Unfav,COFs,FreeSolv,Polarizability,HOPV15,Matbench-Gap
EI,9,9,9,9,9,9,9,9,9
PI,9,9,9,9,9,9,9,9,9
GP-UCB,9,9,9,9,9,9,9,9,9
MES,9,9,9,9,9,9,9,9,9
Thompson,9,9,9,9,9,9,9,9,9
