,Branin-Fav,Branin-Unfav,Park-Fav,Park-Unfav,COFs,FreeSolv,Polarizability,HOPV15,Matbench-Gap
EI,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.7777777777777778,0.3333333333333333,0.0,0.0,0.5555555555555556,0.3333333333333333
PI,1.0,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.0,0.5555555555555556,0.4444444444444444
GP-UCB,0.0,0.0,0.5555555555555556,0.7777777777777778,0.3333333333333333,0.4444444444444444,0.0,0.5555555555555556,0.2222222222222222
MES,0.1111111111111111,0.0,0.6666666666666666,0.7777777777777778,0.3333333333333333,0.4444444444444444,0.0,0.4444444444444444,0.1111111111111111
Thompson,0.2222222222222222,0.8888888888888888,0.4444444444444444,0.7777777777777778,0.4444444444444444,0.0,0.0,0.1111111111111111,0.0
