,Branin-Fav,Branin-Unfav,Park-Fav,Park-Unfav,COFs,FreeSolv,Polarizability,HOPV15,Matbench-Gap
MFGP,40,40,40,40,40,39,40,40,40
Frozen,20,20,20,20,20,20,20,20,20
PtJ,20,20,20,20,20,20,20,20,20
E2E,20,20,20,20,20,20,20,20,20
SPS,20,20,20,20,20,20,20,20,20
MMD,20,20,20,20,20,20,20,20,20
