acq,pool,model,mean,se,n
pi,Branin-Fav,Frozen,0.5877747252747245,0.05791444023206005,20
pi,Branin-Fav,PtJ,0.5918956043956042,0.05838680927837025,20
pi,Branin-Fav,E2E,0.7030219780219777,0.04769092338466421,20
pi,Branin-Fav,SPS,0.4932692307692298,0.05614312486004775,20
pi,Branin-Fav,MMD,0.37747252747252624,0.049642724713143516,20
pi,Branin-Unfav,Frozen,0.4061813186813187,0.07891166546036554,20
pi,Branin-Unfav,PtJ,0.0013736263736263735,0.001025993838901492,20
pi,Branin-Unfav,E2E,0.3581043956043956,0.07403545696321408,20
pi,Branin-Unfav,SPS,0.10673076923076923,0.04823067828812124,20
pi,Branin-Unfav,MMD,0.12417582417582418,0.053239730330407777,20
pi,Park-Fav,Frozen,0.7439560439560436,0.03035853313540216,20
pi,Park-Fav,PtJ,0.9395604395604396,0.0045448911641126945,20
pi,Park-Fav,E2E,0.8576923076923079,0.01818786592771035,20
pi,Park-Fav,SPS,0.9445054945054945,0.003518200130457603,20
pi,Park-Fav,MMD,0.8263736263736263,0.02117683697266726,20
pi,Park-Unfav,Frozen,0.845054945054945,0.02981776875097674,20
pi,Park-Unfav,PtJ,0.8186813186813188,0.03161383150469363,20
pi,Park-Unfav,E2E,0.8554945054945055,0.025737891613236388,20
pi,Park-Unfav,SPS,0.8571428571428571,0.02817494172069242,20
pi,Park-Unfav,MMD,0.7961538461538462,0.031035317694426006,20
pi,COFs,Frozen,0.9180343331446894,0.00792650468919079,20
pi,COFs,PtJ,0.9096514808526692,0.009389957807373386,20
pi,COFs,E2E,0.9133771929824558,0.008026681137092167,20
pi,COFs,SPS,0.8798457838143747,0.010156185379463748,20
pi,COFs,MMD,0.9264171854367099,0.010156185379463757,20
pi,FreeSolv,Frozen,0.935294117647059,0.006836896625408403,20
pi,FreeSolv,PtJ,0.9372549019607845,0.006297686812133057,20
pi,FreeSolv,E2E,0.935294117647059,0.006836896625408403,20
pi,FreeSolv,SPS,0.9372549019607845,0.006297686812133057,20
pi,FreeSolv,MMD,0.9254901960784316,0.010018296057388304,20
pi,Polarizability,Frozen,0.955267401740174,0.0075305148270772004,20
pi,Polarizability,PtJ,0.955267401740174,0.0075305148270772004,20
pi,Polarizability,E2E,0.955267401740174,0.0075305148270772004,20
pi,Polarizability,SPS,0.955267401740174,0.0075305148270772004,20
pi,Polarizability,MMD,0.955267401740174,0.0075305148270772004,20
pi,HOPV15,Frozen,0.27948113207547143,0.07875111546174009,20
pi,HOPV15,PtJ,0.22499999999999995,0.05143695498385654,20
pi,HOPV15,E2E,0.3037735849056605,0.07758824601868716,20
pi,HOPV15,SPS,0.2379716981132077,0.07002810870826064,20
pi,HOPV15,MMD,0.28113207547169766,0.06902588297629594,20
pi,Matbench-Gap,Frozen,0.2580882352941175,0.05661965739666016,20
pi,Matbench-Gap,PtJ,0.2661764705882349,0.060557831501053656,20
pi,Matbench-Gap,E2E,0.3720588235294117,0.06345989345132116,20
pi,Matbench-Gap,SPS,0.3477941176470586,0.04933397006936089,20
pi,Matbench-Gap,MMD,0.3007352941176467,0.044291132068331455,20
ucb,Branin-Fav,Frozen,0.5081043956043947,0.05735167382636481,20
ucb,Branin-Fav,PtJ,0.24285714285714258,0.06305289200308666,20
ucb,Branin-Fav,E2E,0.6184065934065927,0.039467198212097036,20
ucb,Branin-Fav,SPS,0.3116758241758232,0.046919884864397216,20
ucb,Branin-Fav,MMD,0.3603021978021968,0.04557689518690864,20
ucb,Branin-Unfav,Frozen,0.2802197802197802,0.06875993187459137,20
ucb,Branin-Unfav,PtJ,0.0004120879120879121,0.00041208791208791203,20
ucb,Branin-Unfav,E2E,0.3504120879120879,0.06790494536954818,20
ucb,Branin-Unfav,SPS,0.05934065934065934,0.029152236028627865,20
ucb,Branin-Unfav,MMD,0.05947802197802197,0.03379601349695046,20
ucb,Park-Fav,Frozen,0.7428571428571424,0.029727041317459343,20
ucb,Park-Fav,PtJ,0.9406593406593406,0.004322703745761659,20
ucb,Park-Fav,E2E,0.8532967032967035,0.018819868626343984,20
ucb,Park-Fav,SPS,0.9456043956043956,0.003607395526829107,20
ucb,Park-Fav,MMD,0.7961538461538462,0.020207376057930142,20
ucb,Park-Unfav,Frozen,0.8368131868131868,0.029131789699602874,20
ucb,Park-Unfav,PtJ,0.8192307692307693,0.032151815670608874,20
ucb,Park-Unfav,E2E,0.8708791208791208,0.02477663196555271,20
ucb,Park-Unfav,SPS,0.8598901098901098,0.027244571900132138,20
ucb,Park-Unfav,MMD,0.7939560439560439,0.029366468807281526,20
ucb,COFs,Frozen,0.9152400490473491,0.007819208475627887,20
ucb,COFs,PtJ,0.9096514808526692,0.009292194000953284,20
ucb,COFs,E2E,0.9124457649500091,0.007775288215429284,20
ucb,COFs,SPS,0.898474344463309,0.010245708356913796,20
ucb,COFs,MMD,0.9338686096962837,0.007935140796370983,20
ucb,FreeSolv,Frozen,0.9372549019607845,0.006297686812133057,20
ucb,FreeSolv,PtJ,0.9372549019607845,0.006297686812133057,20
ucb,FreeSolv,E2E,0.9372549019607845,0.006297686812133057,20
ucb,FreeSolv,SPS,0.9372549019607845,0.006297686812133057,20
ucb,FreeSolv,MMD,0.9372549019607845,0.006297686812133057,20
ucb,Polarizability,Frozen,0.955267401740174,0.0075305148270772004,20
ucb,Polarizability,PtJ,0.955267401740174,0.0075305148270772004,20
ucb,Polarizability,E2E,0.955267401740174,0.0075305148270772004,20
ucb,Polarizability,SPS,0.955267401740174,0.0075305148270772004,20
ucb,Polarizability,MMD,0.955267401740174,0.0075305148270772004,20
ucb,HOPV15,Frozen,0.3351415094339619,0.07795945976545843,20
ucb,HOPV15,PtJ,0.18584905660377363,0.06491851966099355,20
ucb,HOPV15,E2E,0.2867924528301885,0.07048575160744813,20
ucb,HOPV15,SPS,0.199056603773585,0.06681308205375615,20
ucb,HOPV15,MMD,0.23089622641509394,0.054997776028525,20
ucb,Matbench-Gap,Frozen,0.22352941176470575,0.04575894334457095,20
ucb,Matbench-Gap,PtJ,0.3044117647058823,0.060437419376572155,20
ucb,Matbench-Gap,E2E,0.291911764705882,0.047739311276920215,20
ucb,Matbench-Gap,SPS,0.30514705882352894,0.0601805072504625,20
ucb,Matbench-Gap,MMD,0.2882352941176468,0.048568096036902625,20
mes,Branin-Fav,Frozen,0.5037087912087903,0.060648291901515786,20
mes,Branin-Fav,PtJ,0.2232142857142853,0.06098519252684181,20
mes,Branin-Fav,E2E,0.5881868131868123,0.03764358908783827,20
mes,Branin-Fav,SPS,0.3034340659340651,0.04461197045161045,20
mes,Branin-Fav,MMD,0.36813186813186716,0.043537900537354915,20
mes,Branin-Unfav,Frozen,0.25673076923076926,0.06070760367983372,20
mes,Branin-Unfav,PtJ,0.0,0.0,20
mes,Branin-Unfav,E2E,0.3361263736263736,0.05879386916084727,20
mes,Branin-Unfav,SPS,0.05370879120879122,0.02947682532821714,20
mes,Branin-Unfav,MMD,0.034340659340659344,0.01728978114225112,20
mes,Park-Fav,Frozen,0.7412087912087907,0.030152403990826398,20
mes,Park-Fav,PtJ,0.9406593406593406,0.004322703745761659,20
mes,Park-Fav,E2E,0.8554945054945057,0.017177875727592554,20
mes,Park-Fav,SPS,0.9456043956043956,0.003607395526829107,20
mes,Park-Fav,MMD,0.793956043956044,0.020924352090657947,20
mes,Park-Unfav,Frozen,0.8423076923076923,0.027894674484191966,20
mes,Park-Unfav,PtJ,0.8225274725274726,0.03201115668395187,20
mes,Park-Unfav,E2E,0.8675824175824175,0.02516604743746844,20
mes,Park-Unfav,SPS,0.8626373626373626,0.026302439110362664,20
mes,Park-Unfav,MMD,0.7906593406593406,0.02974921501355416,20
mes,COFs,Frozen,0.9068571967553287,0.010203282881274332,20
mes,COFs,PtJ,0.9068571967553289,0.009838761530990843,20
mes,COFs,E2E,0.9133771929824558,0.008026681137092167,20
mes,COFs,SPS,0.8928857762686286,0.009639504506653473,20
mes,COFs,MMD,0.935731465761177,0.007582027739301062,20
mes,FreeSolv,Frozen,0.9372549019607845,0.006297686812133057,20
mes,FreeSolv,PtJ,0.9372549019607845,0.006297686812133057,20
mes,FreeSolv,E2E,0.9372549019607845,0.006297686812133057,20
mes,FreeSolv,SPS,0.9372549019607845,0.006297686812133057,20
mes,FreeSolv,MMD,0.9372549019607845,0.006297686812133057,20
mes,Polarizability,Frozen,0.955267401740174,0.0075305148270772004,20
mes,Polarizability,PtJ,0.955267401740174,0.0075305148270772004,20
mes,Polarizability,E2E,0.955267401740174,0.0075305148270772004,20
mes,Polarizability,SPS,0.955267401740174,0.0075305148270772004,20
mes,Polarizability,MMD,0.955267401740174,0.0075305148270772004,20
mes,HOPV15,Frozen,0.34457547169811287,0.07521171939685456,20
mes,HOPV15,PtJ,0.18679245283018858,0.0647830878838297,20
mes,HOPV15,E2E,0.2915094339622639,0.06876173609248466,20
mes,HOPV15,SPS,0.17641509433962269,0.06129630556823842,20
mes,HOPV15,MMD,0.22264150943396183,0.06486546410104667,20
mes,Matbench-Gap,Frozen,0.32794117647058807,0.05546836224025133,20
mes,Matbench-Gap,PtJ,0.314705882352941,0.06372211628760034,20
mes,Matbench-Gap,E2E,0.25735294117647023,0.04364426109047638,20
mes,Matbench-Gap,SPS,0.3249999999999996,0.061184247243278644,20
mes,Matbench-Gap,MMD,0.3176470588235292,0.055317332587965694,20
ts,Branin-Fav,Frozen,0.5576923076923067,0.05984014502762696,20
ts,Branin-Fav,PtJ,0.360302197802197,0.0517742069926203,20
ts,Branin-Fav,E2E,0.6204670329670323,0.04520100875907981,20
ts,Branin-Fav,SPS,0.3574175824175813,0.046210314474211686,20
ts,Branin-Fav,MMD,0.395054945054944,0.05309890073981451,20
ts,Branin-Unfav,Frozen,0.4148351648351648,0.06527224719889287,20
ts,Branin-Unfav,PtJ,0.03461538461538462,0.03461538461538461,20
ts,Branin-Unfav,E2E,0.4218406593406593,0.06448409124007634,20
ts,Branin-Unfav,SPS,0.19780219780219782,0.05408596754864989,20
ts,Branin-Unfav,MMD,0.17293956043956044,0.05723450067472291,20
ts,Park-Fav,Frozen,0.7302197802197797,0.032072647042059664,20
ts,Park-Fav,PtJ,0.9302197802197802,0.007142857142857135,20
ts,Park-Fav,E2E,0.858791208791209,0.016670903263730934,20
ts,Park-Fav,SPS,0.9456043956043956,0.003518200130457601,20
ts,Park-Fav,MMD,0.8252747252747252,0.01933007492069123,20
ts,Park-Unfav,Frozen,0.8428571428571427,0.026906842285996595,20
ts,Park-Unfav,PtJ,0.8060439560439562,0.032268234857200054,20
ts,Park-Unfav,E2E,0.8631868131868131,0.024988636597830325,20
ts,Park-Unfav,SPS,0.8697802197802199,0.02562652789071104,20
ts,Park-Unfav,MMD,0.820879120879121,0.0268713872142171,20
ts,COFs,Frozen,0.9189657611771361,0.008682524961896268,20
ts,COFs,PtJ,0.9068571967553289,0.010468347356388496,20
ts,COFs,E2E,0.9189657611771361,0.007677779318126492,20
ts,COFs,SPS,0.8966114883984154,0.01174097221899172,20
ts,COFs,MMD,0.9245543293718164,0.009012815441760259,20
ts,FreeSolv,Frozen,0.9245098039215687,0.009780674191919234,20
ts,FreeSolv,PtJ,0.9284313725490196,0.008914790062542343,20
ts,FreeSolv,E2E,0.9205882352941177,0.0091610704042297,20
ts,FreeSolv,SPS,0.9372549019607845,0.006297686812133057,20
ts,FreeSolv,MMD,0.9254901960784316,0.010018296057388304,20
ts,Polarizability,Frozen,0.955267401740174,0.0075305148270772004,20
ts,Polarizability,PtJ,0.955267401740174,0.0075305148270772004,20
ts,Polarizability,E2E,0.955267401740174,0.0075305148270772004,20
ts,Polarizability,SPS,0.955267401740174,0.0075305148270772004,20
ts,Polarizability,MMD,0.955267401740174,0.0075305148270772004,20
ts,HOPV15,Frozen,0.09292452830188669,0.04660046162984035,20
ts,HOPV15,PtJ,0.12924528301886756,0.044127829867706685,20
ts,HOPV15,E2E,0.23679245283018796,0.058787327379385954,20
ts,HOPV15,SPS,0.08301886792452831,0.0412558835640493,20
ts,HOPV15,MMD,0.11391509433962224,0.04424559930055948,20
ts,Matbench-Gap,Frozen,0.09117647058823505,0.03230012576141527,20
ts,Matbench-Gap,PtJ,0.1779411764705876,0.04634348923763332,20
ts,Matbench-Gap,E2E,0.18088235294117633,0.04205849877551121,20
ts,Matbench-Gap,SPS,0.31029411764705844,0.06031299259043606,20
ts,Matbench-Gap,MMD,0.06397058823529403,0.027226793068416705,20
