pool,model,n,mean,se
HOPV15,Progressive,40,0.17924528301886786,0.05159680587710367
HOPV15,Pretrain-then-Joint,40,0.2924528301886792,0.052565165651038664
HOPV15,Stop-Gradient Joint,40,0.3755896226415093,0.05604406173113346
HOPV15,Domain Adaptation (MMD),40,0.33066037735849046,0.055946790016587075
HOPV15,Soft Parameter Sharing,40,0.2452830188679246,0.054164503071952565
HOPV15,Adapter,40,0.2249999999999995,0.05440994339533471
Matbench-Gap,MFGP,40,0.24513888888888818,0.035883918194824276
Matbench-Gap,Sparse MFGP,40,0.3217592592592585,0.039821094824851855
Matbench-Gap,DKL,40,0.26898148148148093,0.0401772276487548
Matbench-Gap,Sequential,40,0.37268518518518456,0.03590498981217128
Matbench-Gap,Feature-extraction transfer,40,0.363194444444444,0.03783925757173688
Matbench-Gap,End-to-End Joint,40,0.381018518518518,0.04042487140264304
Matbench-Gap,Progressive,40,0.38912037037036956,0.03493797719205553
Matbench-Gap,Pretrain-then-Joint,40,0.4210648148148139,0.03392036687593351
Matbench-Gap,Stop-Gradient Joint,40,0.4092592592592588,0.038758656807765184
Matbench-Gap,Domain Adaptation (MMD),40,0.37407407407407317,0.027169260650224514
Matbench-Gap,Soft Parameter Sharing,40,0.43495370370370284,0.03585250790012765
Matbench-Gap,Adapter,40,0.46249999999999947,0.040177227648754844
ExptGap-PBE,MFGP,40,0.3328703703703697,0.03055330720669909
ExptGap-PBE,Sparse MFGP,40,0.3372685185185179,0.02750916240641703
ExptGap-PBE,DKL,40,0.28981481481481436,0.03707885815480226
ExptGap-PBE,Sequential,40,0.3773148148148143,0.021121516362437222
ExptGap-PBE,Feature-extraction transfer,40,0.3821759259259253,0.022517495367041354
ExptGap-PBE,End-to-End Joint,40,0.3648148148148141,0.02706387134436779
ExptGap-PBE,Progressive,40,0.383564814814814,0.03396068577500887
ExptGap-PBE,Pretrain-then-Joint,40,0.37847222222222154,0.028887662779578802
ExptGap-PBE,Stop-Gradient Joint,40,0.40555555555555517,0.027279078301424963
ExptGap-PBE,Domain Adaptation (MMD),40,0.39791666666666614,0.03380107275435327
ExptGap-PBE,Soft Parameter Sharing,40,0.40972222222222143,0.03289009346352052
ExptGap-PBE,Adapter,40,0.3486111111111106,0.028590035479738776
Elastic-CHGNet,MFGP,40,0.49282407407407336,0.044351962753659574
Elastic-CHGNet,Sparse MFGP,40,0.5736111111111105,0.04901103971913408
Elastic-CHGNet,DKL,40,0.6043981481481475,0.0420186508554761
Elastic-CHGNet,Sequential,40,0.4932870370370364,0.04189290103717678
Elastic-CHGNet,Feature-extraction transfer,40,0.5249999999999994,0.04183935933698707
Elastic-CHGNet,End-to-End Joint,40,0.507175925925925,0.043617272299849984
Elastic-CHGNet,Progressive,40,0.3606481481481474,0.03593436608447218
Elastic-CHGNet,Pretrain-then-Joint,40,0.38148148148148076,0.03904966088990732
Elastic-CHGNet,Stop-Gradient Joint,40,0.6219907407407403,0.04148939749352247
Elastic-CHGNet,Domain Adaptation (MMD),40,0.5532407407407403,0.04460188706761088
Elastic-CHGNet,Soft Parameter Sharing,40,0.3337962962962956,0.030918073822196915
Elastic-CHGNet,Adapter,40,0.5541666666666663,0.044973443971492354
Elastic-SevenNet,MFGP,40,0.568055555555555,0.0394129741505484
Elastic-SevenNet,Sparse MFGP,40,0.7247685185185186,0.030098504605906948
Elastic-SevenNet,DKL,40,0.6784722222222221,0.039796573014734236
Elastic-SevenNet,Sequential,40,0.7300925925925923,0.02798779030912228
Elastic-SevenNet,Feature-extraction transfer,40,0.7298611111111108,0.030745058814964903
Elastic-SevenNet,End-to-End Joint,40,0.72662037037037,0.03204756725069438
Elastic-SevenNet,Progressive,40,0.6752314814814812,0.038346950129102435
Elastic-SevenNet,Pretrain-then-Joint,40,0.7025462962962962,0.03643291049733492
Elastic-SevenNet,Stop-Gradient Joint,40,0.6909722222222219,0.0372968208436846
Elastic-SevenNet,Domain Adaptation (MMD),40,0.7543981481481479,0.03167672318142757
Elastic-SevenNet,Soft Parameter Sharing,40,0.7335648148148145,0.031850608667130326
Elastic-SevenNet,Adapter,40,0.7310185185185183,0.030535314456104953
Elastic-MatterSim,MFGP,40,0.7574074074074072,0.024522810296232756
Elastic-MatterSim,Sparse MFGP,40,0.8634259259259259,0.009083989291828055
Elastic-MatterSim,DKL,40,0.836574074074074,0.013891065040026879
Elastic-MatterSim,Sequential,40,0.8796296296296298,0.008945294287771261
Elastic-MatterSim,Feature-extraction transfer,40,0.8777777777777779,0.00939595207759221
Elastic-MatterSim,End-to-End Joint,40,0.8796296296296298,0.008066586524437577
Elastic-MatterSim,Progressive,40,0.8578703703703706,0.011960776396010328
Elastic-MatterSim,Pretrain-then-Joint,40,0.8537037037037039,0.013921298053039202
Elastic-MatterSim,Stop-Gradient Joint,40,0.8722222222222225,0.010666970028396972
Elastic-MatterSim,Domain Adaptation (MMD),40,0.8699074074074076,0.008957266580821884
Elastic-MatterSim,Soft Parameter Sharing,40,0.8615740740740743,0.010441763057232198
Elastic-MatterSim,Adapter,40,0.8805555555555558,0.010011029407039585
