benchmark,model,ece,n_ece,nan_ece,n,attainment,se
Elastic-SevenNet,End-to-End Joint,0.13565997160026844,40,0,40,0.72662037037037,0.03204756725069438
Elastic-SevenNet,Feature-extraction transfer,0.10895929908378892,40,0,40,0.7298611111111108,0.030745058814964903
Elastic-SevenNet,MFGP,0.07264700776681017,40,1,40,0.568055555555555,0.0394129741505484
Elastic-SevenNet,Pretrain-then-Joint,0.1392805736558475,40,0,40,0.7025462962962962,0.03643291049733492
Elastic-SevenNet,Progressive,0.13248697257171788,40,0,40,0.6752314814814812,0.038346950129102435
Elastic-SevenNet,Sequential,0.11446182521146295,40,0,40,0.7300925925925923,0.02798779030912228
Elastic-SevenNet,Soft Parameter Sharing,0.1532530996771077,40,0,40,0.7335648148148145,0.031850608667130326
Elastic-SevenNet,Sparse MFGP,0.3107334437481831,40,0,40,0.7247685185185186,0.030098504605906948
Elastic-SevenNet,Stop-Gradient Joint,0.07589116181312501,40,0,40,0.6909722222222219,0.0372968208436846
ExptGap-PBE,Adapter,0.08217968357101113,40,0,40,0.3486111111111106,0.028590035479738776
ExptGap-PBE,DKL,0.2671662154432386,40,4,40,0.28981481481481436,0.03707885815480226
ExptGap-PBE,Domain Adaptation (MMD),0.08864143218079683,40,0,40,0.39791666666666614,0.03380107275435327
ExptGap-PBE,End-to-End Joint,0.08915056984477358,40,0,40,0.3648148148148141,0.02706387134436779
ExptGap-PBE,Feature-extraction transfer,0.08779009023282996,40,0,40,0.3821759259259253,0.022517495367041354
ExptGap-PBE,MFGP,0.16680783538147637,40,2,40,0.3328703703703697,0.03055330720669909
ExptGap-PBE,Pretrain-then-Joint,0.10899623791290167,40,0,40,0.37847222222222154,0.028887662779578802
ExptGap-PBE,Progressive,0.10827377953196327,40,0,40,0.383564814814814,0.03396068577500887
ExptGap-PBE,Sequential,0.08576510118531902,40,0,40,0.3773148148148143,0.021121516362437222
ExptGap-PBE,Soft Parameter Sharing,0.11615910241107116,40,0,40,0.40972222222222143,0.03289009346352052
ExptGap-PBE,Sparse MFGP,0.20483646879165654,40,0,40,0.3372685185185179,0.02750916240641703
ExptGap-PBE,Stop-Gradient Joint,0.08146804002977814,40,0,40,0.40555555555555517,0.027279078301424963
FreeSolv,Adapter,0.25220883829249174,40,0,40,0.9279411764705884,0.0074759280423003106
FreeSolv,DKL,0.36594842299991004,40,0,40,0.9200980392156864,0.007735163646107588
FreeSolv,Domain Adaptation (MMD),0.2479721045433026,40,0,40,0.9284313725490199,0.008234037108692513
FreeSolv,End-to-End Joint,0.2527217391261646,40,0,40,0.9367647058823533,0.004735093475727623
FreeSolv,Feature-extraction transfer,0.25242287954857584,40,0,40,0.9303921568627453,0.0070888557265182724
FreeSolv,MFGP,0.09833853260692291,40,0,40,0.9377450980392158,0.004543857918288467
FreeSolv,Pretrain-then-Joint,0.2284304286097422,40,0,40,0.9328431372549023,0.006391856893028466
FreeSolv,Progressive,0.22431254712365414,40,0,40,0.9377450980392158,0.004543857918288467
FreeSolv,Sequential,0.2524217039893028,40,0,40,0.9338235294117648,0.005424056653424634
FreeSolv,Soft Parameter Sharing,0.24029882827287122,40,0,40,0.9377450980392158,0.004543857918288467
FreeSolv,Sparse MFGP,0.06476155893889825,40,0,40,0.898529411764706,0.010986663708506022
FreeSolv,Stop-Gradient Joint,0.2609877211015238,40,0,40,0.9338235294117648,0.005424056653424634
HOPV15,Adapter,0.06902095196847677,40,0,40,0.2249999999999995,0.05440994339533471
HOPV15,DKL,0.4047104340454969,40,0,40,0.21603773584905667,0.05482541430412417
HOPV15,Domain Adaptation (MMD),0.06323267190376694,40,0,40,0.33066037735849046,0.055946790016587075
HOPV15,End-to-End Joint,0.06731789377177574,40,0,40,0.33207547169811286,0.054075110118233696
HOPV15,Feature-extraction transfer,0.0688159701467075,40,0,40,0.4047169811320753,0.05512066856686201
HOPV15,MFGP,0.06675734455943061,40,0,40,0.3174528301886793,0.0632412502481276
HOPV15,Pretrain-then-Joint,0.07726888453655824,40,0,40,0.2924528301886792,0.052565165651038664
HOPV15,Progressive,0.08497715969094112,40,0,40,0.17924528301886786,0.05159680587710367
HOPV15,Sequential,0.07018557038165113,40,0,40,0.40047169811320743,0.05658961079065811
HOPV15,Soft Parameter Sharing,0.0806141784548059,40,0,40,0.2452830188679246,0.054164503071952565
HOPV15,Sparse MFGP,0.06544901576611754,40,0,40,0.08018867924528286,0.04215614222549458
HOPV15,Stop-Gradient Joint,0.08490312240068403,40,0,40,0.3755896226415093,0.05604406173113346
Matbench-Gap,Adapter,0.094764485904201,40,0,40,0.46249999999999947,0.040177227648754844
Matbench-Gap,DKL,0.35620243660492845,40,0,40,0.26898148148148093,0.0401772276487548
Matbench-Gap,Domain Adaptation (MMD),0.09039573761726383,40,0,40,0.37407407407407317,0.027169260650224514
Matbench-Gap,End-to-End Joint,0.09143353302156584,40,0,40,0.381018518518518,0.04042487140264304
Matbench-Gap,Feature-extraction transfer,0.09507756007739146,40,0,40,0.363194444444444,0.03783925757173688
Matbench-Gap,MFGP,0.15135745259968073,40,0,40,0.24513888888888818,0.035883918194824276
Matbench-Gap,Pretrain-then-Joint,0.11411336820695803,40,0,40,0.4210648148148139,0.03392036687593351
Matbench-Gap,Progressive,0.11838375413226036,40,0,40,0.38912037037036956,0.03493797719205553
Matbench-Gap,Sequential,0.09964861803472139,40,0,40,0.37268518518518456,0.03590498981217128
Matbench-Gap,Soft Parameter Sharing,0.11111387844658446,40,0,40,0.43495370370370284,0.03585250790012765
Matbench-Gap,Sparse MFGP,0.18211509293675496,40,0,40,0.3217592592592585,0.039821094824851855
Matbench-Gap,Stop-Gradient Joint,0.10706446902439593,40,0,40,0.4092592592592588,0.038758656807765184
Park-Fav,Adapter,0.42329817901942784,40,0,40,0.7815934065934063,0.018948692021329712
Park-Fav,DKL,0.15543917283324712,40,0,40,0.8543956043956046,0.010356179601582234
