pool,B,MFGP_EI,n_MFGP_EI,MFGP_greedy,n_MFGP_greedy,MFGP_paired_delta_EI_minus_greedy,n_pairs_MFGP,E2E_EI,n_E2E_EI,E2E_greedy,n_E2E_greedy,E2E_paired_delta,n_pairs_E2E
Branin-Fav,50,0.9118131868131869,40,0.9123626373626376,40,-0.0005494505494505447,40,0.6510302197802194,40,0.6877747252747249,40,-0.03674450549450552,40
Branin-Unfav,50,0.756043956043956,40,0.739010989010989,40,0.01703296703296701,40,0.3652472527472527,40,0.35776098901098907,40,0.007486263736263732,40
Park-Fav,50,0.6153846153846145,40,0.6302197802197794,40,-0.014835164835164876,40,0.8351648351648354,40,0.8359890109890109,40,-0.0008241758241758157,40
Park-Unfav,50,0.7739010989010989,40,0.7895604395604396,40,-0.015659340659340652,40,0.8612637362637363,40,0.8598901098901098,40,0.0013736263736263744,40
COFs,30,0.9022000565930955,40,0.9022000565930955,40,1.9428902930940238e-17,40,0.9175686191284662,40,0.9198971892095829,40,-0.002328570081116768,40
FreeSolv,30,0.9366515837104075,39,0.9377450980392158,40,0.0,39,0.9367647058823533,40,0.9367647058823533,40,0.0,40
Polarizability,30,0.9535469171917192,40,0.9513963115061506,40,0.0021506056855685658,40,0.962579461071107,40,0.962579461071107,40,0.0,40
HOPV15,30,0.3174528301886793,40,0.23443396226415097,40,0.08301886792452835,40,0.3990566037735848,40,0.33207547169811286,40,0.06698113207547196,40
Matbench-Gap,20,0.16544117647058798,40,0.1437499999999996,40,0.02169117647058837,40,0.28749999999999976,40,0.28749999999999976,40,3.8857805861880476e-17,40
