benchmark,model,seed,final_regret_vm,final_regret_slurm,auc_vm,auc_slurm,final_equal,auc_equal
Park-Fav,Sequential,55,0.0,0.0,0.0830510629835863,0.0830510629835863,True,True
Park-Fav,Sequential,56,0.0,0.0,1.5029633781751984e-08,1.5029633781751984e-08,True,True
Park-Fav,Sequential,42,0.0,0.0,0.1574726398026053,0.1574726398026053,True,True
Park-Fav,Sequential,43,0.0,0.0,0.1111220081057651,0.1111220081057651,True,True
Park-Fav,Sequential,44,0.0,0.0,0.1574726390305497,0.1574726390305497,True,True
Park-Fav,Sequential,45,0.0,0.0,0.0830501499825685,0.0830501499825685,True,True
Park-Fav,Sequential,46,0.0,0.0,0.176152818345755,0.176152818345755,True,True
Branin-Unfav,TwoStageJoint,57,3.5800652789754164,3.5800652789754164,3.5800652789754177,3.5800652789754177,True,True
Branin-Unfav,TwoStageJoint,58,5.396536248624538,5.396536248624538,6.424972872388327,6.424972872388327,True,True
Branin-Unfav,TwoStageJoint,59,3.3551091224877183,3.3551091224877183,5.387672465025504,5.387672465025504,True,True
Branin-Unfav,TwoStageJoint,60,3.180609312939413,3.180609312939413,7.059774135650563,7.059774135650563,True,True
Branin-Unfav,TwoStageJoint,61,4.056300340445636,4.056300340445636,5.636695906389491,5.636695906389491,True,True
Park-Fav,DomainAdaptationMMD,52,0.0,0.0,0.2555072604913267,0.2555072604913267,True,True
Park-Fav,DomainAdaptationMMD,53,0.0,0.0,0.1551917324651169,0.1551917324651169,True,True
Park-Fav,DomainAdaptationMMD,54,0.0,0.0,0.2472837259486382,0.2472837259486382,True,True
Park-Fav,DomainAdaptationMMD,55,0.0,0.0,0.0830510596377763,0.0830510596377763,True,True
Park-Fav,DomainAdaptationMMD,56,0.0,0.0,2.8101319162033092e-08,2.8101319162033092e-08,True,True
Branin-Unfav,KnowledgeDistillation,47,2.3273694998934467,2.3273694998934467,5.055494851438569,5.055494851438569,True,True
Branin-Unfav,KnowledgeDistillation,48,5.937743147166876,5.937743147166876,5.937743147166877,5.937743147166877,True,True
Branin-Unfav,KnowledgeDistillation,49,3.180609312939413,3.180609312939413,3.272661338566416,3.272661338566416,True,True
Branin-Unfav,KnowledgeDistillation,50,0.1464807059646879,0.1464807059646879,1.8257070910657447,1.8257070910657447,True,True
Branin-Unfav,KnowledgeDistillation,51,4.056300340445636,4.056300340445636,7.679417849254901,7.679417849254901,True,True
COFs,Adapter,42,0.0,0.0,1.2068288602680843,1.2068288602680843,True,True
COFs,Adapter,43,0.0,0.0,0.5138461246985581,0.5138461246985581,True,True
COFs,Adapter,44,0.0,0.0,1.2984008173357786,1.2984008173357786,True,True
COFs,Adapter,45,0.0,0.0,0.486708524724641,0.486708524724641,True,True
COFs,Adapter,46,0.0,0.0,0.3713677499086647,0.3713677499086647,True,True
FreeSolv,TwoStageJoint,57,0.0,0.0,0.2666299559471347,0.2666299559471347,True,True
FreeSolv,TwoStageJoint,58,0.0,0.0,0.0403083700440525,0.0403083700440525,True,True
FreeSolv,TwoStageJoint,59,0.0,0.0,0.3825991189427284,0.3825991189427284,True,True
FreeSolv,TwoStageJoint,60,0.0,0.0,0.0284140969162993,0.0284140969162993,True,True
FreeSolv,TwoStageJoint,61,0.0,0.0,0.3383259911894248,0.3383259911894248,True,True
Branin-Fav,Progressive,47,2.898721511567282,2.898721511567282,7.319762031358185,7.319762031358185,True,True
Branin-Fav,Progressive,48,0.8424602688694769,0.8424602688694769,3.3210112309304978,3.3210112309304978,True,True
Branin-Fav,Progressive,49,2.3273694998934467,2.3273694998934467,6.267919158999649,6.267919158999649,True,True
Branin-Fav,Progressive,50,3.3551091224877183,3.3551091224877183,8.452601233475768,8.452601233475768,True,True
Branin-Fav,Progressive,51,3.3551091224877183,3.3551091224877183,4.854806867690109,4.854806867690109,True,True
Polarizability,Adapter,52,0.0,0.0,0.0,0.0,True,True
Polarizability,Adapter,53,0.0,0.0,0.0321550990596623,0.0321550990596623,True,True
Polarizability,Adapter,54,0.0,0.0,0.0,0.0,True,True
Polarizability,Adapter,55,0.0,0.0,0.023330665708893,0.023330665708893,True,True
Polarizability,Adapter,56,0.0,0.0,0.006419955598516,0.006419955598516,True,True
Matbench-Gap,Progressive,47,0.02,0.02,0.2011209439528011,0.2011209439528011,True,True
Matbench-Gap,Progressive,48,0.24,0.24,0.4795280235988185,0.4795280235988185,True,True
