cell,r2,top10,adv_TL_MFGP,adv_TL_var,adv_var_MFGP,auc_TL_MFGP,auc_TL_var,auc_var_MFGP
cell_00,0.3687,0.0,0.20575447570332486,0.008919437340153429,0.19683503836317146,0.14800198560436867,0.0035207382347545307,0.14448124736961412
cell_01,0.3956,0.1,0.05847186700767262,0.0,0.05847186700767262,0.07435569026730111,0.01356874615558927,0.060786944111711844
cell_02,0.4093,0.3,0.09757033248081835,0.035677749360613714,0.06189258312020463,0.08310590609386291,0.02353885417678346,0.05956705191707945
cell_03,0.423,0.4,0.09849744245524297,0.0,0.09849744245524297,0.07878202326610337,0.009685216959651133,0.06909680630645224
cell_04,0.4453,0.6,0.0,0.0,0.0,0.05819358563458385,0.017951374275631992,0.040242211358951854
cell_05,0.4729,0.7,0.0,0.0,0.0,0.048573116643465156,0.024865917748497172,0.023707198894967987
cell_06,0.4595,0.0,0.23148976982097189,0.035677749360613714,0.19581202046035817,0.15424031748087275,0.00010271995424489255,0.15413759752662784
cell_07,0.486,0.1,0.07464833759590797,0.0,0.07464833759590797,0.09201124726170055,0.013238261732871404,0.07877298552882915
cell_08,0.5005,0.3,0.09849744245524297,0.017838874680306857,0.0806585677749361,0.08403200438127921,0.014430838378279187,0.06960116600300002
cell_09,0.5154,0.4,0.08957800511508954,0.0,0.08957800511508954,0.0803386048971047,0.01623150636148782,0.06410709853561689
cell_10,0.5489,0.5,0.0,0.0,0.0,0.05299486332782957,0.01820227265369537,0.0347925906741342
cell_100,0.2346,0.8,0.07135549872122744,0.01783887468030686,0.053516624040920585,0.07569900827694856,0.05708646281847895,0.018612545458469618
cell_101,0.242,0.9,0.01783887468030686,0.0,0.01783887468030686,0.07311003377685675,0.036637907777309915,0.03647212599954684
cell_102,0.2463,1.0,0.01783887468030686,0.0,0.01783887468030686,0.05547025909978728,0.04344723580130983,0.012023023298477445
cell_103,0.2979,0.3,0.06918158567774924,0.05351662404092058,0.015664961636828657,0.0830484422717903,0.05402449091909731,0.029023951352692992
cell_104,0.3023,0.4,0.06918158567774924,0.06243606138107401,0.006745524296675229,0.10226779759785029,0.06764321441289771,0.03462458318495258
cell_105,0.313,0.6,0.06243606138107401,0.05351662404092058,0.008919437340153429,0.09291245804871194,0.06330638199143158,0.029606076057280356
cell_106,0.331,0.9,0.03567774936061372,0.0,0.03567774936061372,0.09770225646670316,0.03004170848306287,0.0676605479836403
cell_107,0.3606,0.2,0.12314578005115084,0.01783887468030686,0.10530690537084399,0.09277358714537007,0.041522467545080634,0.05125111960028944
cell_108,0.3795,0.5,0.07135549872122744,0.02675831202046029,0.04459718670076715,0.04538481875964466,0.041366060733594376,0.004018758026050284
cell_109,0.3895,0.7,0.07135549872122744,0.01783887468030686,0.053516624040920585,0.04412897795331664,0.04277830835140862,0.0013506696019080222
cell_11,0.4579,0.6,0.0,0.0,0.0,0.05365043650922105,0.01919372592184908,0.03445671058737197
cell_110,0.4065,0.9,0.0,0.0,0.0,0.05188740328272179,0.03325482642148746,0.018632576861234332
cell_111,0.49,0.2,0.12314578005115084,0.03567774936061372,0.08746803069053713,0.10560987190693562,0.0590166941845532,0.04659317772238242
cell_112,0.5256,0.2,0.10316496163682856,0.02675831202046029,0.07640664961636827,0.09683685939978638,0.04179366710911095,0.05504319229067543
cell_113,0.5427,0.5,0.07135549872122744,0.03567774936061372,0.03567774936061372,0.05243964949766357,0.047491825568972704,0.004947823928690864
cell_114,0.5681,0.9,0.0,0.0,0.0,0.04500793162614502,0.02566582494307556,0.01934210668306946
cell_115,0.6742,0.2,0.10316496163682856,0.02675831202046029,0.07640664961636827,0.08186119384462653,0.034412398696407456,0.04744879514821908
cell_116,0.7013,0.8,0.07135549872122744,0.00891943734015343,0.062436061381074014,0.06361272081755094,0.03539292574487131,0.028219795072679632
cell_117,0.7113,0.9,0.0,0.0,0.0,0.06339365685734917,0.029827230837298917,0.03356642602005025
cell_118,0.7689,0.2,0.0963554987212275,0.00891943734015343,0.08743606138107407,0.09336427746662795,0.033515234657429185,0.05984904280919877
cell_119,0.7797,0.5,0.07135549872122744,0.00891943734015343,0.062436061381074014,0.047781842511357794,0.03722880043596952,0.010553042075388278
cell_12,0.4785,0.7,0.0,0.0,0.0,0.042683749339031005,0.029364552645493917,0.013319196693537087
cell_120,0.7977,0.9,0.0,0.0,0.0,0.03275033183333853,0.02757993676281722,0.005170395070521312
cell_121,0.8621,0.0,0.08407928388746788,0.057320971867007596,0.026758312020460286,0.08711367045442286,0.07249135344836902,0.014622317006053848
cell_122,0.8687,0.1,0.08446291560102288,0.05095907928388736,0.03350383631713552,0.06789755252678949,0.034741871432117086,0.0331556810946724
cell_123,0.8702,0.2,0.09680306905370832,0.04459718670076715,0.05220588235294117,0.0728598098567991,0.02817669720612509,0.04468311265067401
cell_124,0.8746,0.3,0.10316496163682856,0.04459718670076715,0.05856777493606141,0.07510042679702594,0.036128557091521143,0.0389718697055048
cell_125,0.9044,0.9,0.0,0.0,0.0,0.039685109046370105,0.017999935252031314,0.02168517379433879
cell_13,0.514,0.8,0.0,0.0,0.0,0.04560819925108171,0.029475163758403592,0.016133035492678117
cell_14,0.6334,0.0,0.21416240409207168,0.017838874680306857,0.19632352941176484,0.12614529713921938,0.0008445563145456914,0.12530074082467368
cell_15,0.6544,0.1,0.0871803069053709,0.008919437340153429,0.07826086956521748,0.08113277919863605,0.030438357236125063,0.05069442196251099
cell_16,0.6132,0.3,0.1269820971867007,0.026758312020460293,0.10022378516624042,0.0847434901313305,0.024948403962575583,0.059795086168754924
cell_17,0.6249,0.4,0.10914322250639384,0.01783887468030686,0.09130434782608698,0.0731049078960149,0.023993303980920852,0.049111603915094046
cell_18,0.6721,0.6,0.0,0.0,0.0,0.04931232261754437,0.025992262617760182,0.023320059999784183
cell_19,0.5946,0.7,0.0,0.0,0.0,0.033996730227588944,0.01718788781335307,0.016808842414235872
cell_20,0.6225,0.8,0.0,0.0,0.0,0.04568238963169183,0.01504311135571446,0.030639278275977365
cell_21,0.7019,0.0,0.20524296675191825,0.015281329923273655,0.1899616368286446,0.12867444721421903,-0.007230054927859858,0.1359045021420789
cell_22,0.7235,0.1,0.13056265984654739,0.017838874680306857,0.11272378516624053,0.12641878986046823,0.05439921978697909,0.07201957007348914
cell_23,0.7038,0.3,0.09303069053708443,-0.008919437340153429,0.10195012787723787,0.06817488965867041,0.009492254524264276,0.058682635134406136
cell_24,0.7161,0.4,0.09868925831202043,0.024200767263427073,0.07448849104859336,0.06065353631821477,0.023689865324225415,0.03696367099398935
cell_25,0.7134,0.5,0.0,0.0,0.0,0.03280833522181559,0.013042668911262819,0.019765666310552772
cell_26,0.6777,0.6,0.0,0.0,0.0,0.041485911921179924,0.02728452415638773,0.01420138776479219
cell_27,0.72,0.7,0.0,0.0,0.0,0.03371345786525934,0.02780115898863655,0.005912298876622792
cell_28,0.7804,0.7,0.0,0.0,0.0,0.04632312473696126,0.022644253078226182,0.023678871658735078
cell_29,0.8015,0.0,0.259079283887468,0.09034526854219935,0.16873401534526863,0.19084005093506873,0.12643996784184225,0.06440008309322648
