benchmark,model,seed,fraction,n_hf,n_lf,n_train,pool,dim,numpy_fit_flops,numpy_predict_flops,fit_flops,predict_flops,ok,elapsed,err
Branin-Fav,Curriculum,42,0.3,7,78,85,2500,2,14251353,22445000,436088153,65005000,1,1.52,
Branin-Fav,Curriculum,42,0.5,12,130,142,2500,2,14576148,22445000,717943316,65005000,1,2.1,
Branin-Fav,Curriculum,42,0.7,17,181,198,2500,2,14933943,22445000,995346103,65005000,1,2.07,
Branin-Fav,Curriculum,42,1.0,24,259,283,2500,2,15490296,22445000,1418013688,65005000,1,1.47,
Branin-Fav,Curriculum,43,0.1,2,26,28,2500,2,13959558,22445000,160406406,65005000,1,3.47,
Branin-Fav,Curriculum,43,0.3,7,78,85,2500,2,14251353,22445000,436088153,65005000,1,1.63,
Branin-Fav,Curriculum,43,0.5,12,130,142,2500,2,14576148,22445000,717943316,65005000,1,1.91,
Branin-Fav,Curriculum,43,0.7,17,181,198,2500,2,14933943,22445000,995346103,65005000,1,1.54,
Branin-Fav,Curriculum,43,1.0,24,259,283,2500,2,15490296,22445000,1418013688,65005000,1,1.62,
Branin-Fav,DNGO-Gradient,42,0.1,2,26,28,2500,2,13959558,22445000,243845254,65005000,1,3.1,
Branin-Fav,DNGO-Gradient,42,0.3,7,78,85,2500,2,14251353,22445000,719400665,65005000,1,1.88,
Branin-Fav,DNGO-Gradient,42,0.5,12,130,142,2500,2,14576148,22445000,1194989076,65005000,1,3.24,
Branin-Fav,DNGO-Gradient,42,0.7,17,181,198,2500,2,14933943,22445000,1662960439,65005000,1,3.1,
Branin-Fav,DNGO-Gradient,42,1.0,24,259,283,2500,2,15490296,22445000,2368666104,65005000,1,2.03,
Branin-Fav,DNGO-Gradient,43,0.1,2,26,28,2500,2,13959558,22445000,243845254,65005000,1,3.01,
Branin-Fav,DNGO-Gradient,43,0.3,7,78,85,2500,2,14251353,22445000,719400665,65005000,1,1.92,
Branin-Fav,DNGO-Gradient,43,0.5,12,130,142,2500,2,14576148,22445000,1194989076,65005000,1,2.7,
Branin-Fav,DNGO-Gradient,43,0.7,17,181,198,2500,2,14933943,22445000,1662960439,65005000,1,4.15,
Branin-Fav,DNGO-Gradient,43,1.0,24,259,283,2500,2,15490296,22445000,2368666104,65005000,1,2.85,
Branin-Fav,Progressive,42,0.1,2,26,28,2500,2,13959558,22445000,84754054,65005000,1,0.69,
Branin-Fav,Progressive,42,0.3,7,78,85,2500,2,14251353,22445000,228808665,65005000,1,0.68,
Branin-Fav,Progressive,42,0.5,12,130,142,2500,2,14576148,22445000,372896276,65005000,1,0.44,
Branin-Fav,Progressive,42,0.7,17,181,198,2500,2,14933943,22445000,514461239,65005000,1,0.41,
Branin-Fav,Progressive,42,1.0,24,259,283,2500,2,15490296,22445000,729574904,65005000,1,0.42,
Branin-Fav,Progressive,43,0.1,2,26,28,2500,2,13959558,22445000,84754054,65005000,1,0.45,
Branin-Fav,Progressive,43,0.3,7,78,85,2500,2,14251353,22445000,228808665,65005000,1,1.81,
Branin-Fav,Progressive,43,0.5,12,130,142,2500,2,14576148,22445000,372896276,65005000,1,0.53,
Branin-Fav,Progressive,43,0.7,17,181,198,2500,2,14933943,22445000,514461239,65005000,1,0.52,
Branin-Fav,Progressive,43,1.0,24,259,283,2500,2,15490296,22445000,729574904,65005000,1,0.53,
Branin-Fav,Two-Stage Joint,42,0.1,2,26,28,2500,2,13959558,22445000,157204102,65005000,1,0.84,
Branin-Fav,Two-Stage Joint,42,0.3,7,78,85,2500,2,14251353,22445000,449160409,65005000,1,0.92,
Branin-Fav,Two-Stage Joint,42,0.5,12,130,142,2500,2,14576148,22445000,741149716,65005000,1,0.88,
Branin-Fav,Two-Stage Joint,42,0.7,17,181,198,2500,2,14933943,22445000,1028060727,65005000,1,1.21,
Branin-Fav,Two-Stage Joint,42,1.0,24,259,283,2500,2,15490296,22445000,1463526136,65005000,1,1.24,
Branin-Fav,Two-Stage Joint,43,0.1,2,26,28,2500,2,13959558,22445000,157204102,65005000,1,2.77,
Branin-Fav,Two-Stage Joint,43,0.3,7,78,85,2500,2,14251353,22445000,449160409,65005000,1,1.34,
Branin-Fav,Two-Stage Joint,43,0.5,12,130,142,2500,2,14576148,22445000,741149716,65005000,1,1.34,
Branin-Fav,Two-Stage Joint,43,0.7,17,181,198,2500,2,14933943,22445000,1028060727,65005000,1,0.8,
Branin-Fav,Two-Stage Joint,43,1.0,24,259,283,2500,2,15490296,22445000,1463526136,65005000,1,0.9,
Branin-Fav,DNGO-Joint,42,0.1,2,26,28,2500,2,13959558,22445000,233477254,65005000,1,2.15,
Branin-Fav,DNGO-Joint,42,0.3,7,78,85,2500,2,14251353,22445000,683112665,65005000,1,2.17,
Branin-Fav,DNGO-Joint,42,0.5,12,130,142,2500,2,14576148,22445000,1132781076,65005000,1,4.03,
Branin-Fav,DNGO-Joint,42,0.7,17,181,198,2500,2,14933943,22445000,1574832439,65005000,1,2.21,
Branin-Fav,DNGO-Joint,42,1.0,24,259,283,2500,2,15490296,22445000,2244250104,65005000,1,2.28,
Branin-Fav,DNGO-Joint,43,0.1,2,26,28,2500,2,13959558,22445000,233477254,65005000,1,2.12,
Branin-Fav,DNGO-Joint,43,0.3,7,78,85,2500,2,14251353,22445000,683112665,65005000,1,2.23,
Branin-Fav,DNGO-Joint,43,0.5,12,130,142,2500,2,14576148,22445000,1132781076,65005000,1,1.4,
Branin-Fav,DNGO-Joint,43,0.7,17,181,198,2500,2,14933943,22445000,1574832439,65005000,1,4.02,
Branin-Fav,DNGO-Joint,43,1.0,24,259,283,2500,2,15490296,22445000,2244250104,65005000,1,2.54,
Branin-Fav,Knowledge Distillation,42,0.1,2,26,28,2500,2,13959558,22445000,153528454,65005000,1,0.87,
Branin-Fav,Knowledge Distillation,42,0.3,7,78,85,2500,2,14251353,22445000,436405465,65005000,1,0.9,
Branin-Fav,Knowledge Distillation,42,0.5,12,130,142,2500,2,14576148,22445000,719315476,65005000,1,1.06,
