pool,model,abbr,family,n,mean,se
Polarizability,Sparse MFGP,SV-MFGP,GP,40,0.8438660272277229,0.03295851902083886
Polarizability,DKL,DKL,GP,40,0.9449444944494448,0.009937041907512736
Polarizability,Sequential,Seq,TL,40,0.962579461071107,0.005436724890915964
Polarizability,Feature-extraction transfer,FET,TL,40,0.962579461071107,0.005436724890915964
Polarizability,End-to-End Joint,E2E,TL,40,0.962579461071107,0.005436724890915964
Polarizability,Progressive,Prog,TL,40,0.962579461071107,0.005436724890915964
Polarizability,Pretrain-then-Joint,PtJ,TL,40,0.962579461071107,0.005436724890915964
Polarizability,Stop-Gradient Joint,SGJ,TL,40,0.962579461071107,0.005436724890915964
Polarizability,Domain Adaptation (MMD),MMD,TL,40,0.962579461071107,0.005436724890915964
Polarizability,Soft Parameter Sharing,SPS,TL,40,0.962579461071107,0.005436724890915964
Polarizability,Adapter,Adpt,TL,40,0.962579461071107,0.005436724890915964
HOPV15,MFGP,MFGP,GP,40,0.31745283018867926,0.0632412502481276
HOPV15,Sparse MFGP,SV-MFGP,GP,40,0.08018867924528303,0.04215614222549457
HOPV15,DKL,DKL,GP,40,0.21603773584905667,0.054825414304124166
HOPV15,Sequential,Seq,TL,40,0.40047169811320754,0.05658961079065803
HOPV15,Feature-extraction transfer,FET,TL,40,0.4047169811320755,0.05512066856686196
HOPV15,End-to-End Joint,E2E,TL,40,0.33207547169811324,0.054075110118233634
HOPV15,Progressive,Prog,TL,40,0.17924528301886794,0.051596805877103656
HOPV15,Pretrain-then-Joint,PtJ,TL,40,0.29245283018867924,0.052565165651038644
HOPV15,Stop-Gradient Joint,SGJ,TL,40,0.3755896226415094,0.0560440617311334
HOPV15,Domain Adaptation (MMD),MMD,TL,40,0.3306603773584905,0.05594679001658701
HOPV15,Soft Parameter Sharing,SPS,TL,40,0.24528301886792453,0.05416450307195254
HOPV15,Adapter,Adpt,TL,40,0.225,0.054409943395334656
Matbench-Gap,MFGP,MFGP,GP,40,0.24513888888888888,0.03588391819482424
Matbench-Gap,Sparse MFGP,SV-MFGP,GP,40,0.32175925925925924,0.039821094824851806
Matbench-Gap,DKL,DKL,GP,40,0.2689814814814815,0.04017722764875482
Matbench-Gap,Sequential,Seq,TL,40,0.37268518518518523,0.03590498981217124
Matbench-Gap,Feature-extraction transfer,FET,TL,40,0.3631944444444444,0.03783925757173688
Matbench-Gap,End-to-End Joint,E2E,TL,40,0.38101851851851853,0.040424871402643045
Matbench-Gap,Progressive,Prog,TL,40,0.3891203703703704,0.03493797719205549
Matbench-Gap,Pretrain-then-Joint,PtJ,TL,40,0.4210648148148147,0.03392036687593347
Matbench-Gap,Stop-Gradient Joint,SGJ,TL,40,0.40925925925925927,0.03875865680776514
Matbench-Gap,Domain Adaptation (MMD),MMD,TL,40,0.37407407407407406,0.027169260650224458
Matbench-Gap,Soft Parameter Sharing,SPS,TL,40,0.4349537037037036,0.03585250790012759
Matbench-Gap,Adapter,Adpt,TL,40,0.4625,0.04017722764875482
ExptGap-PBE,MFGP,MFGP,GP,40,0.3328703703703704,0.030553307206699028
ExptGap-PBE,Sparse MFGP,SV-MFGP,GP,40,0.3372685185185185,0.02750916240641702
ExptGap-PBE,DKL,DKL,GP,40,0.2898148148148148,0.03707885815480223
ExptGap-PBE,Sequential,Seq,TL,40,0.3773148148148148,0.021121516362437153
ExptGap-PBE,Feature-extraction transfer,FET,TL,40,0.38217592592592586,0.022517495367041312
ExptGap-PBE,End-to-End Joint,E2E,TL,40,0.3648148148148148,0.027063871344367753
ExptGap-PBE,Progressive,Prog,TL,40,0.3835648148148148,0.033960685775008846
ExptGap-PBE,Pretrain-then-Joint,PtJ,TL,40,0.3784722222222222,0.02888766277957875
ExptGap-PBE,Stop-Gradient Joint,SGJ,TL,40,0.4055555555555556,0.02727907830142495
ExptGap-PBE,Domain Adaptation (MMD),MMD,TL,40,0.3979166666666667,0.03380107275435324
ExptGap-PBE,Soft Parameter Sharing,SPS,TL,40,0.40972222222222215,0.032890093463520474
ExptGap-PBE,Adapter,Adpt,TL,40,0.3486111111111111,0.028590035479738762
Elastic-CHGNet,MFGP,MFGP,GP,40,0.492824074074074,0.04435196275365952
Elastic-CHGNet,Sparse MFGP,SV-MFGP,GP,40,0.5736111111111111,0.049011039719134016
Elastic-CHGNet,DKL,DKL,GP,40,0.6043981481481482,0.04201865085547602
Elastic-CHGNet,Sequential,Seq,TL,40,0.493287037037037,0.041892901037176716
Elastic-CHGNet,Feature-extraction transfer,FET,TL,40,0.525,0.041839359336986987
Elastic-CHGNet,End-to-End Joint,E2E,TL,40,0.507175925925926,0.04361727229984988
Elastic-CHGNet,Progressive,Prog,TL,40,0.36064814814814816,0.03593436608447217
Elastic-CHGNet,Pretrain-then-Joint,PtJ,TL,40,0.3814814814814815,0.0390496608899073
Elastic-CHGNet,Stop-Gradient Joint,SGJ,TL,40,0.6219907407407408,0.04148939749352243
Elastic-CHGNet,Domain Adaptation (MMD),MMD,TL,40,0.5532407407407407,0.044601887067610826
Elastic-CHGNet,Soft Parameter Sharing,SPS,TL,40,0.33379629629629626,0.030918073822196936
Elastic-CHGNet,Adapter,Adpt,TL,40,0.5541666666666666,0.04497344397149232
Elastic-SevenNet,MFGP,MFGP,GP,40,0.5680555555555555,0.03941297415054833
Elastic-SevenNet,Sparse MFGP,SV-MFGP,GP,40,0.7247685185185185,0.030098504605906923
Elastic-SevenNet,DKL,DKL,GP,40,0.6784722222222223,0.03979657301473418
Elastic-SevenNet,Sequential,Seq,TL,40,0.7300925925925925,0.02798779030912219
Elastic-SevenNet,Feature-extraction transfer,FET,TL,40,0.7298611111111111,0.030745058814964848
Elastic-SevenNet,End-to-End Joint,E2E,TL,40,0.7266203703703704,0.03204756725069424
Elastic-SevenNet,Progressive,Prog,TL,40,0.6752314814814815,0.03834695012910234
Elastic-SevenNet,Pretrain-then-Joint,PtJ,TL,40,0.7025462962962964,0.03643291049733486
Elastic-SevenNet,Stop-Gradient Joint,SGJ,TL,40,0.6909722222222222,0.03729682084368453
Elastic-SevenNet,Domain Adaptation (MMD),MMD,TL,40,0.7543981481481482,0.03167672318142749
Elastic-SevenNet,Soft Parameter Sharing,SPS,TL,40,0.7335648148148148,0.03185060866713026
Elastic-SevenNet,Adapter,Adpt,TL,40,0.7310185185185185,0.03053531445610486
Elastic-MatterSim,MFGP,MFGP,GP,40,0.7574074074074074,0.024522810296232666
Elastic-MatterSim,Sparse MFGP,SV-MFGP,GP,40,0.8634259259259259,0.00908398929182805
Elastic-MatterSim,DKL,DKL,GP,40,0.8365740740740742,0.013891065040026839
Elastic-MatterSim,Sequential,Seq,TL,40,0.8796296296296295,0.00894529428777126
Elastic-MatterSim,Feature-extraction transfer,FET,TL,40,0.8777777777777779,0.009395952077592204
Elastic-MatterSim,End-to-End Joint,E2E,TL,40,0.8796296296296295,0.008066586524437577
Elastic-MatterSim,Progressive,Prog,TL,40,0.8578703703703704,0.011960776396010299
Elastic-MatterSim,Pretrain-then-Joint,PtJ,TL,40,0.8537037037037039,0.013921298053039158
Elastic-MatterSim,Stop-Gradient Joint,SGJ,TL,40,0.8722222222222223,0.010666970028396946
Elastic-MatterSim,Domain Adaptation (MMD),MMD,TL,40,0.8699074074074072,0.008957266580821884
Elastic-MatterSim,Soft Parameter Sharing,SPS,TL,40,0.861574074074074,0.01044176305723218
Elastic-MatterSim,Adapter,Adpt,TL,40,0.8805555555555555,0.010011029407039568
